"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-26","12.75",",,X",,,"0.00",",,X,2400","0.0",",,X,","1.0",",,X,",,,"27",",,X","14",",,X","  330",",,X","  330",",,X","25.9",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-27","9.40",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"35",",,X","18",",,X","  310",",,X","  310",",,X","17.0",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-28","8.50",",,X",,,"0.19",",,X,2400","0.1",",,X,","0.0",",,X,",,,"35",",,X","24",",,X","  190",",,X","  200",",,X","19.9",",,X","23.9",",,X",,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-29","7.16",",,X",,,"0.03",",,X,2400","0.0",",,X,","0.0",",,X,",,,"48",",,X","34",",,X","  130",",,X","  130",",,X","16.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-30","17.00",",,X",,,"0.03",",,X,2400","0.0",",,X,","0.0",",,X,",,,"52",",,X","41",",,X","  180",",,X","  180",",,X","34.9",",,X","45.0",",,X",,,"    1",",,X",,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,X",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-31","28.86",",,X",,,"0.45",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"56",",,X","30",",,X","  270",",,X","  240",",,X","44.1",",,X","59.1",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-02-01","19.69",",,X",,,"0.00","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"33",",,X","24",",,X","  270",",,X","  310",",,X","30.0",",,X","38.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-02-02","13.20",",,X",,,"0.02",",,X,2400","0.3",",,X,","0.0",",,X,",,,"31",",,X","20",",,X","  270",",,X","  270",",,X","23.0",",,X","25.9",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-02-03","7.16",",,X",,,"0.03",",,X,2400","0.5",",,X,","1.0",",,X,",,,"32",",,X","22",",,X","  300",",,X","  280",",,X","14.1",",,X","17.9",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-02-04","15.88",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"32",",,X","24",",,X","  290",",,X","  290",",,X","28.0",",,X","36.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
